GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.mycompany.knstore,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,com.mycompany.knstore,KnstoreApp,125,24,8,2,25,10,8,3,3,3
JaCoCo Coverage Report,com.mycompany.knstore.domain.enumeration,EstadoTipoDocumento,3,25,0,0,1,6,1,2,1,2
JaCoCo Coverage Report,com.mycompany.knstore.domain.enumeration,EstadoPedido,30,91,13,13,5,18,11,8,1,3
JaCoCo Coverage Report,com.mycompany.knstore.domain.enumeration,EstadoIVA,0,15,0,0,0,3,0,1,0,1
JaCoCo Coverage Report,com.mycompany.knstore.domain.enumeration,Genero,3,32,0,0,1,7,1,2,1,2
JaCoCo Coverage Report,com.mycompany.knstore.domain.enumeration,UbicacionBodega,0,39,0,0,0,7,0,1,0,1
JaCoCo Coverage Report,com.mycompany.knstore.domain.enumeration,TipoServicioEnvio,3,46,0,0,1,9,1,2,1,2
JaCoCo Coverage Report,com.mycompany.knstore.domain.enumeration,EstadoEnvio,3,60,0,0,1,11,1,2,1,2
JaCoCo Coverage Report,com.mycompany.knstore.domain.enumeration,MetodoPago,3,66,0,0,1,12,1,2,1,2
JaCoCo Coverage Report,com.mycompany.knstore.domain.enumeration,EstadoPago,3,53,0,0,1,10,1,2,1,2
JaCoCo Coverage Report,com.mycompany.knstore.service,CheckoutService,57,772,22,43,10,168,25,24,3,12
JaCoCo Coverage Report,com.mycompany.knstore.service,CheckoutService.TotalesCheckout,0,12,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.mycompany.knstore.service,CheckoutException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,com.mycompany.knstore.service,MailService,25,252,3,3,9,58,3,10,0,10
JaCoCo Coverage Report,com.mycompany.knstore.service,UserService,7,627,9,25,3,169,9,38,0,30
JaCoCo Coverage Report,com.mycompany.knstore.service,UsernameAlreadyUsedException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,com.mycompany.knstore.service,InvalidPasswordException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,com.mycompany.knstore.service,ResourceAccessService,243,483,106,58,63,113,86,35,11,28
JaCoCo Coverage Report,com.mycompany.knstore.service,EmailAlreadyUsedException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,com.mycompany.knstore.domain,TipoDocumento,0,90,0,8,0,32,0,20,0,16
JaCoCo Coverage Report,com.mycompany.knstore.domain,User,0,153,0,8,0,50,0,34,0,30
JaCoCo Coverage Report,com.mycompany.knstore.domain,Envio,0,235,0,8,0,91,0,50,0,46
JaCoCo Coverage Report,com.mycompany.knstore.domain,ItemPedido,0,244,0,8,0,96,0,53,0,49
JaCoCo Coverage Report,com.mycompany.knstore.domain,ProductoInventario,0,128,0,12,0,47,0,28,0,22
JaCoCo Coverage Report,com.mycompany.knstore.domain,Subcategoria,0,144,0,8,0,55,0,32,0,28
JaCoCo Coverage Report,com.mycompany.knstore.domain,Producto,5,338,2,10,2,129,3,71,1,67
JaCoCo Coverage Report,com.mycompany.knstore.domain,Pedido,0,255,0,12,0,99,0,55,0,49
JaCoCo Coverage Report,com.mycompany.knstore.domain,Cuenta,1,260,3,11,0,98,3,54,0,50
JaCoCo Coverage Report,com.mycompany.knstore.domain,ProductoImagen,5,125,0,8,2,47,1,28,1,24
JaCoCo Coverage Report,com.mycompany.knstore.domain,AbstractAuditingEntity,0,37,0,0,0,17,0,9,0,9
JaCoCo Coverage Report,com.mycompany.knstore.domain,Direccion,0,209,0,12,0,82,0,46,0,40
